doc_id,title,department,year,region,text
D001,"Document Title D001 (hr)",hr,2023,north_america,"This is the body text of document D001 in department hr for region north_america and year 2023."
D002,"Document Title D002 (finance)",finance,2022,latin_america,"This is the body text of document D002 in department finance for region latin_america and year 2022."
D003,"Document Title D003 (engineering)",engineering,2026,north_america,"This is the body text of document D003 in department engineering for region north_america and year 2026."
D004,"Document Title D004 (engineering)",engineering,2021,north_america,"This is the body text of document D004 in department engineering for region north_america and year 2021."
D005,"Document Title D005 (hr)",hr,2021,europe,"This is the body text of document D005 in department hr for region europe and year 2021."
D006,"Document Title D006 (legal)",legal,2025,north_america,"This is the body text of document D006 in department legal for region north_america and year 2025."
D007,"Document Title D007 (marketing)",marketing,2024,north_america,"This is the body text of document D007 in department marketing for region north_america and year 2024."
D008,"Document Title D008 (engineering)",engineering,2024,latin_america,"This is the body text of document D008 in department engineering for region latin_america and year 2024."
D009,"Document Title D009 (finance)",finance,2023,europe,"This is the body text of document D009 in department finance for region europe and year 2023."
D010,"Document Title D010 (marketing)",marketing,2023,latin_america,"This is the body text of document D010 in department marketing for region latin_america and year 2023."
D011,"Document Title D011 (engineering)",engineering,2022,north_america,"This is the body text of document D011 in department engineering for region north_america and year 2022."
D012,"Document Title D012 (legal)",legal,2026,europe,"This is the body text of document D012 in department legal for region europe and year 2026."
D013,"Document Title D013 (hr)",hr,2024,asia_pacific,"This is the body text of document D013 in department hr for region asia_pacific and year 2024."
D014,"Document Title D014 (sales)",sales,2023,asia_pacific,"This is the body text of document D014 in department sales for region asia_pacific and year 2023."
D015,"Document Title D015 (hr)",hr,2021,north_america,"This is the body text of document D015 in department hr for region north_america and year 2021."
D016,"Document Title D016 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D016 in department engineering for region asia_pacific and year 2020."
D017,"Document Title D017 (legal)",legal,2025,north_america,"This is the body text of document D017 in department legal for region north_america and year 2025."
D018,"Document Title D018 (legal)",legal,2024,asia_pacific,"This is the body text of document D018 in department legal for region asia_pacific and year 2024."
D019,"Document Title D019 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D019 in department engineering for region asia_pacific and year 2024."
D020,"Document Title D020 (marketing)",marketing,2021,europe,"This is the body text of document D020 in department marketing for region europe and year 2021."
D021,"Document Title D021 (engineering)",engineering,2022,north_america,"This is the body text of document D021 in department engineering for region north_america and year 2022."
D022,"Document Title D022 (finance)",finance,2026,europe,"This is the body text of document D022 in department finance for region europe and year 2026."
D023,"Document Title D023 (marketing)",marketing,2026,north_america,"This is the body text of document D023 in department marketing for region north_america and year 2026."
D024,"Document Title D024 (hr)",hr,2026,europe,"This is the body text of document D024 in department hr for region europe and year 2026."
D025,"Document Title D025 (sales)",sales,2024,latin_america,"This is the body text of document D025 in department sales for region latin_america and year 2024."
D026,"Document Title D026 (engineering)",engineering,2025,europe,"This is the body text of document D026 in department engineering for region europe and year 2025."
D027,"Document Title D027 (marketing)",marketing,2022,latin_america,"This is the body text of document D027 in department marketing for region latin_america and year 2022."
D028,"Document Title D028 (engineering)",engineering,2024,latin_america,"This is the body text of document D028 in department engineering for region latin_america and year 2024."
D029,"Document Title D029 (finance)",finance,2025,europe,"This is the body text of document D029 in department finance for region europe and year 2025."
D030,"Document Title D030 (finance)",finance,2023,europe,"This is the body text of document D030 in department finance for region europe and year 2023."
D031,"Document Title D031 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D031 in department engineering for region asia_pacific and year 2020."
D032,"Document Title D032 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D032 in department marketing for region asia_pacific and year 2026."
D033,"Document Title D033 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D033 in department engineering for region asia_pacific and year 2024."
D034,"Document Title D034 (hr)",hr,2026,latin_america,"This is the body text of document D034 in department hr for region latin_america and year 2026."
D035,"Document Title D035 (hr)",hr,2021,europe,"This is the body text of document D035 in department hr for region europe and year 2021."
